Id,Section,SubSection,Label,Question,Answer
1,Bank Cards,Applying for a DBS Debit Card or Credit Card,eligible_debit_card,Am I eligible for a debit card?,"You must be at least 16 years old and have a POSB Savings Account, DBS Savings Plus Account, DBS Autosave Account or DBS Current Account. To open one of these accounts, click <a href=""https://www.dbs.com.sg/personal/deposits/bank-with-ease/addon-casa"" >here</a>

If you are a foreigner, please apply for a debit card at any of our branches. You will need to present your passport and an employment pass that is valid for at least 6 months."
2,Bank Cards,Applying for a DBS Debit Card or Credit Card,eligible_credit_card,Am I eligible for a credit card?,"If you're Singaporean or have permanent residency and you're over 21 years of age, you can apply for a DBS <a href=""https://www.dbs.com.sg/personal/cards/credit-cards/default.page""> Credit Card </a>. You'll need to earn at least S$30,000 a year. For some cards, especially Platinum cards, you'll need to earn more so check the Application Details for the card you're interested in.

If you're a foreigner with a valid employment pass, you'll need to earn a least S$45,000 a year unless otherwise stated.
"
3,Bank Cards,Applying for a DBS Debit Card or Credit Card,apply_card,What do I need to apply?,"The type of document you’ll need varies. Click <a href=""https://www.dbs.com.sg/personal/cards/cards-application-checklist.page"">here </a> for detailed list."
4,Bank Cards,Applying for a DBS Debit Card or Credit Card,apply_card_duration,How long does it take?,Please allow 7 working days for processing. Application not accompanied with required documents or with incomplete information will cause a delay in processing.
5,Bank Cards,Applying for a DBS Debit Card or Credit Card,apply_card_turned dow,Why was my application turned down?,"All applications go through an approval process. For confidentiality reasons, we can't reveal why your particular application was unsuccessful.

However, we may not be able to process your debit card application if your designated <a href=""https://www.dbs.com.sg/personal/deposits/default.page"">DBS savings or current account</a>  is not signature-operated, or if your signature differs from our records. In these instances, we will notify you via an sms or letter and advise you to re-apply at the branch or call us back for further verification"
6,Bank Cards,Applying for a DBS Debit Card or Credit Card,apply_card_status,Can I check the status of my application?,"Yes, Login to Internet Banking. Go to Apply > More Application Services > Select “View Application Status”. Alternatively, you may chat with our Virtual Assistant or Live Chat agents at dbs.com.sg/livechat. Please allow 7 working days for processing. Application not accompanied with required documents or with incomplete information will cause a delay in processing.

Click <a href=""https://www.dbs.com.sg/personal/cards/credit-cards/default.page"" >Credit Card</a> or <a href=""https://www.dbs.com.sg/personal/cards/debit-cards/default.page"" >Debit Card</a> to select the card you wish to apply for.


Where can I view the updated Credit Card and Unsecured Credit Rules?

Please click <a href=""https://www.dbs.com.sg/personal/common-disclaimer.page?url=https://abs.org.sg/consumer-banking/consumer-guides&3rdparty=%27ABS-CONSUMER%20GUIDES%27"">here </a> for the latest FAQs on Revised Credit Card and Unsecured Credit Rules (ABS)."
7,Bank Cards,DBS Reward Points / DBS Online Rewards,reward_card,What's DBS Rewards?,"DBS Rewards is our way of saying thanks for having a DBS Credit Card. Every time you charge to your card, you earn DBS Points which you can use to exchange for a range of exciting reward items."
8,Bank Cards,DBS Reward Points / DBS Online Rewards,qualify_DBS_Points,How do I qualify for DBS Points?,"All DBS Credit Cardmembers are eligible for DBS Points Redemption Programme. However, the Programme does not apply to the following cards:-
DBS Corporate Liability Card (MasterCard Corporate/ Executive and Visa Corporate/ Business)
DBS Purchasing Card
Country Club Corporate Card
DBS Live Fresh Card
DBS Takashimaya Card
DBS Esso Card
DBS yuu Card
SAFRA DBS Credit/Debit Card
POSB Credit Card
DBS and POSB Debit Cards"
9,Bank Cards,DBS Reward Points / DBS Online Rewards,earn_points,How do I earn points?,"You earn 1 DBS Point for every S$5 retail purchase charged to your DBS Credit Card. Points are calculated on each transaction and rounded down to the nearest whole number.
"
10,Bank Cards,DBS Reward Points / DBS Online Rewards,accelerated_points,How do I earn accelerated points?,"Some cards earn more points than others. For example, with DBS Altitude Cardmembers earn 3 DBS Points for every S$5 spent locally and earn 5 DBS Points for every S$5 spent on overseas transactions. Local spend is identified as card transactions posted in Singapore dollars. Overseas spend is identified as card transactions posted in foreign currencies. Click <a href=""https://www.dbs.com.sg/iwov-resources/pdf/cards/rewards_programme_tnc.pdf"" target=""_blank"" rel=""noopener noreferrer"">here</a>  for full terms and conditions."
